method,pi,sep,rep,k_hat
silhouette,0.1,4.0,11,2
silhouette,0.1,4.0,12,2
silhouette,0.1,4.0,13,2
silhouette,0.1,4.0,14,2
silhouette,0.2,3.0,0,2
silhouette,0.2,3.0,1,2
silhouette,0.2,3.0,2,2
silhouette,0.2,3.0,3,2
silhouette,0.2,3.0,4,2
silhouette,0.2,3.0,5,2
silhouette,0.2,3.0,6,2
silhouette,0.2,3.0,7,2
silhouette,0.2,3.0,8,2
silhouette,0.2,3.0,9,2
silhouette,0.2,3.0,10,2
silhouette,0.2,3.0,11,2
silhouette,0.2,3.0,12,2
silhouette,0.2,3.0,13,2
silhouette,0.2,3.0,14,2
silhouette,0.2,4.0,0,2
silhouette,0.2,4.0,1,2
silhouette,0.2,4.0,2,2
silhouette,0.2,4.0,3,2
silhouette,0.2,4.0,4,2
silhouette,0.2,4.0,5,2
silhouette,0.2,4.0,6,2
silhouette,0.2,4.0,7,2
silhouette,0.2,4.0,8,2
silhouette,0.2,4.0,9,2
silhouette,0.2,4.0,10,2
silhouette,0.2,4.0,11,2
silhouette,0.2,4.0,12,2
silhouette,0.2,4.0,13,2
silhouette,0.2,4.0,14,2
silhouette,0.3,3.0,0,2
silhouette,0.3,3.0,1,2
silhouette,0.3,3.0,2,2
silhouette,0.3,3.0,3,2
silhouette,0.3,3.0,4,2
silhouette,0.3,3.0,5,2
silhouette,0.3,3.0,6,2
silhouette,0.3,3.0,7,2
silhouette,0.3,3.0,8,2
silhouette,0.3,3.0,9,2
silhouette,0.3,3.0,10,2
silhouette,0.3,3.0,11,2
silhouette,0.3,3.0,12,2
silhouette,0.3,3.0,13,2
silhouette,0.3,3.0,14,2
silhouette,0.3,4.0,0,2
silhouette,0.3,4.0,1,2
silhouette,0.3,4.0,2,2
silhouette,0.3,4.0,3,2
silhouette,0.3,4.0,4,2
silhouette,0.3,4.0,5,2
silhouette,0.3,4.0,6,2
silhouette,0.3,4.0,7,2
silhouette,0.3,4.0,8,2
silhouette,0.3,4.0,9,2
silhouette,0.3,4.0,10,2
silhouette,0.3,4.0,11,2
silhouette,0.3,4.0,12,2
silhouette,0.3,4.0,13,2
silhouette,0.3,4.0,14,2
silhouette,0.5,3.0,0,2
silhouette,0.5,3.0,1,2
silhouette,0.5,3.0,2,2
silhouette,0.5,3.0,3,2
silhouette,0.5,3.0,4,2
silhouette,0.5,3.0,5,2
silhouette,0.5,3.0,6,2
silhouette,0.5,3.0,7,2
silhouette,0.5,3.0,8,2
silhouette,0.5,3.0,9,2
silhouette,0.5,3.0,10,2
silhouette,0.5,3.0,11,2
silhouette,0.5,3.0,12,2
silhouette,0.5,3.0,13,2
silhouette,0.5,3.0,14,2
silhouette,0.5,4.0,0,2
silhouette,0.5,4.0,1,2
silhouette,0.5,4.0,2,2
silhouette,0.5,4.0,3,2
silhouette,0.5,4.0,4,2
silhouette,0.5,4.0,5,2
silhouette,0.5,4.0,6,2
silhouette,0.5,4.0,7,2
silhouette,0.5,4.0,8,2
silhouette,0.5,4.0,9,2
silhouette,0.5,4.0,10,2
silhouette,0.5,4.0,11,2
silhouette,0.5,4.0,12,2
silhouette,0.5,4.0,13,2
silhouette,0.5,4.0,14,2
